"suc","enero","febrero","marzo","abril","mayo","junio","julio","agosto","septiembre","octubre","noviembre","diciembre"
"001-","2003762.23","1104034.54","1830713.17","1445840.37","601851.04","","","","","","",""
"002-","3219956.84","2723534.81","3085077.06","2425334.59","540254.89","","","","","","",""
"003-","2305258.71","1948910.32","1794123.78","1706673.13","414113.86","","","","","","",""
"005-","1091397.78","2920455.50","924824.27","1032995.45","430212.40","","","","","","",""
"006-","459322.30","474076.36","301968.94","392071.65","104438.70","","","","","","",""
"007-","950611.48","1314382.96","956131.39","1080889.16","383272.94","","","","","","",""
"008-","539862.14","527814.97","815351.87","627140.05","310435.21","","","","","","",""
"010-","196235.28","176752.83","193954.33","190140.76","57533.07","","","","","","",""
"011-","316464.26","135270.12","295707.77","275945.57","99141.64","","","","","","",""
"015-","","","","","","","","","","","",""
