"suc","enero","febrero","marzo","abril","mayo","junio","julio","agosto","septiembre","octubre","noviembre","diciembre"
"001-","0.00","","","","","","","","","","",""
"002-","0.00","","","","","","","","","","",""
"003-","0.00","","","","","","","","","","",""
"005-","0.00","","","","","","","","","","",""
"006-","0.00","","","","","","","","","","",""
"007-","0.00","","","","","","","","","","",""
"008-","0.00","","","","","","","","","","",""
"010-","","","","","","","","","","","",""
"011-","","","","","","","","","","","",""
"015-","","","","","","","","","","","",""
