"suc","enero","feberero","marzo","abril","mayo","junio","julio","agosto","septiembre","octubre","noviembre","diciembre"
"001-","2092867.230000","734840.360000","1351510.040000","1827642.980000","741866.220000","","","","","","",""
"002-","4902358.000000","1754540.000000","2110364.000000","1659077.140000","1186556.000000","","","","","","",""
"003-","899646.110000","325000.000000","830000.000000","1648234.250000","424100.000000","","","","","","",""
"005-","342365.430000","1741643.300000","63100.000000","132203.220000","100000.000000","","","","","","",""
"006-","463668.470000","227219.080000","394380.520000","673637.490000","101194.010000","","","","","","",""
"007-","403463.020000","681835.220000","568703.140000","463231.520000","82027.740000","","","","","","",""
"008-","896514.570000","314659.540000","466694.180000","637778.320000","332090.970000","","","","","","",""
"010-","50000.000000","62000.000000","35000.000000","45000.000000","","","","","","","",""
"011-","64304.600000","","10000.000000","","","","","","","","",""
"015-","","","","","","","","","","","",""
