"suc","enero","febrero","marzo","abril","mayo","junio","julio","agosto","septiembre","octubre","noviembre","diciembre"
"001-","1916048.25","1027803.00","1927930.53","1584269.97","623115.09","","","","","","",""
"002-","3029406.08","2246541.67","3836871.68","2557162.43","734840.95","","","","","","",""
"003-","1786461.16","2186666.52","1575303.42","1926601.06","338677.46","","","","","","",""
"005-","1464332.63","2889057.38","922814.59","1070377.93","347938.08","","","","","","",""
"006-","512424.82","308909.51","469021.88","256458.90","133963.95","","","","","","",""
"007-","1032266.32","1222200.89","580892.91","1226937.70","421441.09","","","","","","",""
"008-","518434.56","425965.50","774704.54","785452.17","289862.27","","","","","","",""
"010-","158048.00","182910.87","176561.16","161865.03","51333.23","","","","","","",""
"011-","329630.85","118645.37","265216.64","296892.78","78664.81","","","","","","",""
"015-","","","","","","","","","","","",""
