"suc","enero","febrero","marzo","abril","mayo","junio","julio","agosto","septiembre","octubre","noviembre","diciembre"
"001-","57000.00","94500.00","68500.00","121500.00","31000.00","","","","","","",""
"002-","179000.00","49000.00","131000.00","192500.00","34500.00","","","","","","",""
"003-","89000.00","106000.00","259000.00","194500.00","45000.00","","","","","","",""
"005-","44000.00","133000.00","83000.00","112500.00","24500.00","","","","","","",""
"006-","21000.00","13000.00","23000.00","5000.00","4000.00","","","","","","",""
"007-","87000.00","33000.00","54500.00","162500.00","46000.00","","","","","","",""
"008-","49500.00","57500.00","57000.00","36000.00","22500.00","","","","","","",""
"010-","2000.00","2500.00","","6000.00","0.00","","","","","","",""
"011-","20500.00","24000.00","11000.00","25500.00","6500.00","","","","","","",""
"015-","","","","","","","","","","","",""
