"suc","enero","febrero","marzo","abril","mayo","junio","julio","agosto","septiembre","octubre","noviembre","diciembre"
"001-","13500.00","6000.00","4000.00","10500.00","6000.00","","","","","","",""
"002-","18000.00","31500.00","12000.00","12500.00","8000.00","","","","","","",""
"003-","15015.00","21000.00","21500.00","31500.00","23500.00","","","","","","",""
"005-","32000.00","28500.00","17500.00","27500.00","13000.00","","","","","","",""
"006-","500.00","2500.00","1000.00","3000.00","1500.00","","","","","","",""
"007-","4500.00","2000.00","2000.00","500.00","1500.00","","","","","","",""
"008-","0.00","500.00","3000.00","3500.00","0.00","","","","","","",""
"010-","500.00","3500.00","2000.00","4000.00","2000.00","","","","","","",""
"011-","9000.00","13000.00","11200.00","28200.00","7000.00","","","","","","",""
"015-","","","","","","","","","","","",""
