"suc","enero","febrero","marzo","abril","mayo","junio","julio","agosto","septiembre","octubre","noviembre","diciembre"
"001-","180.22","","","","","","","","","","",""
"002-","1754.62","","","","","","","","","","",""
"003-","1327.93","","","","","","","","","","",""
"005-","221.05","","","","","","","","","","",""
"006-","37.03","","","","","","","","","","",""
"007-","105.28","","","","","","","","","","",""
"008-","323.92","","","","","","","","","","",""
"010-","","","","","","","","","","","",""
"011-","","","","","","","","","","","",""
"015-","","","","","","","","","","","",""
