"suc","enero","feberero","marzo","abril","mayo","junio","julio","agosto","septiembre","octubre","noviembre","diciembre"
"001-","1924182.060000","929416.100000","1988340.070000","1350954.430000","466914.710000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000"
"002-","5110246.620000","1740264.900000","1950077.490000","2171260.000000","1009197.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000"
"003-","749709.030000","105000.000000","1009600.000000","1322603.950000","405750.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000"
"005-","116797.000000","226578.000000","74118.440000","145931.160000","136353.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000"
"006-","641007.020000","407629.640000","201658.090000","789930.100000","55102.430000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",""
"007-","253294.460000","500811.550000","532533.230000","200310.550000","36845.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000"
"008-","830431.870000","322414.080000","662183.430000","754766.720000","112500.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000"
"010-","60500.000000","64000.000000","40000.000000","35000.000000","0.000000","","0.000000","","","","",""
"011-","105677.500000","","","","17170.000000","","0.000000","","","","",""
"015-","","","","","","","","","","","",""
