"suc","enero","feberero","marzo","abril","mayo","junio","julio","agosto","septiembre","octubre","noviembre","diciembre"
"001-","","","","","500.000000","","","","0.000000","0.000000","","0.000000"
"002-","","","","500.000000","","","","","0.000000","0.000000","","0.000000"
"003-","","","500.000000","","","","","","0.000000","","","0.000000"
"005-","500.000000","","","","","0.000000","","","","","","0.000000"
"006-","","","","","","","","","","","","0.000000"
"007-","","0.000000","500.000000","","","","","","","","","0.000000"
"008-","","","","","","","","","0.000000","","","0.000000"
"010-","","","","","","","","","","","",""
"011-","","","","","","","","","","","",""
"015-","","","","","","","","","","","",""
