 precorteid , tablareservaid , prestamoid , ejercicio , periodo , fechacierre , diasvencidos , porcentajeaplicado , factoraplicado , saldoprestamo , reservacalculada , interesdevengadomenoravencido , interesdevengadomayoravencido , pagocapitalenperiodo , pagointeresenperiodo , pagomoratorioenperiodo , bonificacionintenperiodo , bonificacionmorenperiodo , noamorvencidas , saldovencidomenoravencido , saldovencidomayoravencido , fechaultamorpagada , tipoprestamoid , montoprestamo , clavefinalidad , tasanormal , tasa_moratoria , ultimoabono , diastraspasoavencida ,, fecha_vencimiento , ultimoabonointeres , interesdevmormenor , interesdevmormayor , saldopromedio , dias_de_cobro , meses_de_cobro , depositogarantia , pagosvencidos , finalidaddefault ,  saldopromediodelmes   , interesdevengadomes , primerincumplimiento , diasinteres , diascapital , reservaidnc , frecuencia , fecha_otorga , estatusvive , zonamarginada , importeultimaamort , importevencidoamort , tipocartera 
    2364171 ,              1 ,       9128 ,      2014 ,       1 , 2014-01-31  ,0,               0.01 ,              1 , 450000.000000 ,    4500.00000000 ,0,                             0 ,                    0 ,                    0 ,                      0 ,                        0 ,                        0 ,              0 ,             450000.000000 ,                         0 , 2014-01-31         , N4             , 450000.000000 , 002            ,      22.08 ,          33.12 , 2014-01-31  ,89,, 2017-01-15        , 2014-01-31         ,0,                  0 ,               ,            30 ,              0 ,    135000.000000 ,             0 , 002              ,          450000.000000 ,                   0 , 2014-03-04           ,           0 ,           0 ,        0.00 ,         32 , 2014-01-31   ,           3 ,               ,              12500 ,                   0 , 
    2363398 ,              1 ,       8352 ,      2014 ,       1 , 2014-01-31  ,0,               0.01 ,              1 ,      0.000000 ,       0.00000000 ,0,                             0 ,              1969.84 ,                38.00 ,                      0 ,                        0 ,                        0 ,              0 ,                  0.000000 ,                         0 , 2014-01-09         , N1             ,   5000.000000 , 002            ,      33.48 ,          50.22 , 2014-01-10  ,89,, 2014-07-10        , 2014-01-10         ,0,                  0 ,               ,            30 ,              0 ,                0 ,             0 , 002              ,               0.000000 ,                   0 , 2014-02-08           ,           0 ,           0 ,        0.00 ,         30 , 2013-07-12   ,           3 ,               ,                416 ,                   0 , 
    2363421 ,              1 ,       8376 ,      2014 ,       1 , 2014-01-31  ,0,               0.01 ,              1 ,      0.000000 ,       0.00000000 ,0,                             0 ,              2499.44 ,                41.00 ,                      0 ,                        0 ,                        0 ,              0 ,                  0.000000 ,                         0 , 2014-01-14         , N4             ,   5000.000000 , 002            ,      28.32 ,          42.48 , 2014-01-05  ,89,, 2014-05-15        , 2014-01-05         ,0,                  0 ,               ,            30 ,              0 ,                0 ,             0 , 002              ,               0.000000 ,                   0 , 2014-02-13           ,           0 ,           0 ,        0.00 ,         30 , 2013-07-17   ,           3 ,               ,                500 ,                   0 , 
    2362721 ,              1 ,       7669 ,      2014 ,       1 , 2014-01-31  ,0,               0.01 ,              1 ,      0.000000 ,       0.00000000 ,0,                             0 ,             13419.20 ,               350.00 ,                   1.00 ,                        0 ,                        0 ,              0 ,                  0.000000 ,                         0 , 2014-01-07         , N4             ,  23000.000000 , 002            ,      31.44 ,          47.16 , 2014-01-22  ,89,, 2015-02-05        , 2014-01-22         ,0,                  0 ,               ,            30 ,              0 ,                0 ,             0 , 002              ,               0.000000 ,                   0 , 2014-02-06           ,           0 ,           0 ,        0.00 ,         30 , 2013-02-07   ,           3 ,               ,                958 ,                   0 , 
    2364172 ,              1 ,       9129 ,      2014 ,       1 , 2014-01-31  ,0,               0.01 ,              1 ,   8500.000000 ,      85.00000000 ,0,                             0 ,                    0 ,                    0 ,                      0 ,                        0 ,                        0 ,              0 ,               8500.000000 ,                         0 , 2014-01-31         , N1             ,   8500.000000 , 002            ,      26.40 ,          39.60 , 2014-01-31  ,89,, 2015-02-01        , 2014-01-31         ,0,                  0 ,               ,            30 ,              0 ,      2805.000000 ,             0 , 002              ,            8500.000000 ,                   0 , 2014-03-04           ,           0 ,           0 ,        0.00 ,         32 , 2014-01-31   ,           3 ,               ,                708 ,                   0 , 
    2363508 ,              1 ,       8463 ,      2014 ,       1 , 2014-01-31  ,0,               0.01 ,              1 ,      0.000000 ,       0.00000000 ,0,                             0 ,             19499.52 ,               311.00 ,                      0 ,                        0 ,                        0 ,              0 ,                  0.000000 ,                         0 , 2014-01-05         , N16            , 154000.000000 , 002            ,      15.96 ,          23.94 , 2014-01-06  ,89,0, 2015-08-04        , 2014-01-06         ,0,                  0 ,               ,            30 ,              0 ,                0 ,             0 , 002              ,               0.000000 ,                   0 , 2014-02-04           ,           0 ,           0 ,        0.00 ,         30 , 2013-08-07   ,           3 ,               ,               6416 ,                   0 , 
    2363309 ,              1 ,       8263 ,      2014 ,       1 , 2014-01-31  ,0,               0.01 ,              1 ,      0.000000 ,       0.00000000 ,0,                             0 ,              1045.96 ,                23.00 ,                      0 ,                        0 ,                        0 ,              0 ,                  0.000000 ,                         0 , 2014-01-21         , N16            ,  18000.000000 , 002            ,      15.96 ,          23.94 , 2014-01-14  ,89,0, 2014-06-22        , 2014-01-14         ,0,                  0 ,               ,            30 ,              0 ,                0 ,             0 , 002              ,               0.000000 ,                   0 , 2014-02-20           ,           0 ,           0 ,        0.00 ,         30 , 2013-06-24   ,           3 ,               ,               1500 ,                   0 , 
    2363675 ,              1 ,       8630 ,      2014 ,       1 , 2014-01-31  ,0,               0.01 ,              1 ,      0.000000 ,       0.00000000 ,0,                             0 ,              4000.00 ,                    0 ,                      0 ,                        0 ,                        0 ,              0 ,                  0.000000 ,                         0 , 2014-01-15         , P4             ,   4000.000000 , 002            ,          0 ,              0 , 2014-01-15  ,89,, 2014-01-15        , 2014-01-15         ,0,                  0 ,               ,           120 ,              0 ,                0 ,             0 , 002              ,               0.000000 ,                   0 , 2014-05-15           ,           0 ,           0 ,        0.00 ,        120 , 2013-09-17   ,           3 ,               ,        4000.000000 ,            0.000000 , 
    2363972 ,              1 ,       8928 ,      2014 ,       1 , 2014-01-31  ,0,               0.01 ,              1 ,      0.000000 ,       0.00000000 ,0,                             0 ,              2499.76 ,                24.00 ,                      0 ,                        0 ,                        0 ,              0 ,                  0.000000 ,                         0 , 2014-01-02         , N4             ,   3500.000000 , 002            ,      31.44 ,          47.16 , 2014-01-09  ,89,, 2014-04-03        , 2014-01-09         ,0,                  0 ,               ,            30 ,              0 ,                0 ,             0 , 002              ,               0.000000 ,                   0 , 2014-02-01           ,           0 ,           0 ,        0.00 ,         30 , 2013-12-01   ,           3 ,               ,                875 ,                   0 , 
    2364039 ,              1 ,       8995 ,      2014 ,       1 , 2014-01-31  ,0,               0.01 ,              1 ,      0.000000 ,       0.00000000 ,0,                             0 ,              2000.00 ,                19.00 ,                      0 ,                        0 ,                        0 ,              0 ,                  0.000000 ,                         0 , 2014-01-17         , N4             ,   2000.000000 , 002            ,      21.12 ,          31.68 , 2014-01-03  ,89,, 2014-04-20        , 2014-01-03         ,0,                  0 ,               ,            30 ,              0 ,                0 ,             0 , 002              ,               0.000000 ,                   0 , 2014-02-16           ,           0 ,           0 ,        0.00 ,         30 , 2013-12-18   ,           3 ,               ,                500 ,                   0 , 
    2362176 ,              1 ,       7121 ,      2014 ,       1 , 2014-01-31  ,0,               0.01 ,              1 ,      0.000000 ,       0.00000000 ,0,                             0 ,              3337.20 ,                47.00 ,                      0 ,                        0 ,                        0 ,              0 ,                  0.000000 ,                         0 , 2014-01-09         , N1             ,  15000.000000 , 002            ,      33.48 ,          50.22 , 2014-01-08  ,89,, 2014-04-10        , 2014-01-08         ,0,                  0 ,               ,            30 ,              0 ,                0 ,             0 , 002              ,               0.000000 ,                   0 , 2014-02-08           ,           0 ,           0 ,        0.00 ,         30 , 2012-10-12   ,           3 ,               ,                833 ,                   0 , 
    2363443 ,              1 ,       8398 ,      2014 ,       1 , 2014-01-31  ,0,               0.01 ,              1 ,      0.000000 ,       0.00000000 ,0,                             0 ,              4990.68 ,                44.00 ,                      0 ,                        0 ,                        0 ,              0 ,                  0.000000 ,                         0 , 2014-01-19         , N16            ,  10000.000000 , 002            ,      15.96 ,          23.94 , 2014-01-19  ,89,0, 2014-07-20        , 2014-01-19         ,0,                  0 ,               ,            30 ,              0 ,                0 ,             0 , 002              ,               0.000000 ,                   0 , 2014-02-18           ,           0 ,           0 ,        0.00 ,         30 , 2013-07-22   ,           3 ,               ,                833 ,                   0 , 
    2363571 ,              1 ,       8526 ,      2014 ,       1 , 2014-01-31  ,0,               0.01 ,              1 ,      0.000000 ,       0.00000000 ,0,                             0 ,              1378.45 ,                36.68 ,                      0 ,                        0 ,                        0 ,              0 ,                  0.000000 ,                         0 , 2014-01-30         , N5             ,   5000.000000 , 002            ,      56.88 ,          64.62 , 2014-01-16  ,89,, 2014-02-06        , 2014-01-16         ,0,                  0 ,               ,             7 ,              0 ,                0 ,             0 , 002              ,               0.000000 ,                   0 , 2014-02-06           ,           7 ,           0 ,        0.00 ,          7 , 2013-08-20   ,           3 ,               ,             237.18 ,                0.00 , 
    2362306 ,              1 ,       7252 ,      2014 ,       1 , 2014-01-31  ,0,               0.01 ,              1 ,      0.000000 ,       0.00000000 ,0,                             0 ,             73102.44 ,              1851.00 ,                      0 ,                        0 ,                        0 ,              0 ,                  0.000000 ,                         0 , 2014-01-07         , N1             , 150000.000000 , 002            ,      31.44 ,          47.16 , 2014-01-03  ,89,, 2015-10-25        , 2014-01-03         ,0,                  0 ,               ,            30 ,              0 ,                0 ,             0 , 002              ,               0.000000 ,                   0 , 2014-02-06           ,           0 ,           0 ,        0.00 ,         30 , 2012-11-09   ,           3 ,               ,               4166 ,                   0 , 
