 precorteid | tablareservaid | prestamoid | ejercicio | periodo | fechacierre | diasvencidos | porcentajeaplicado | factoraplicado | saldoprestamo | reservacalculada | interesdevengadomenoravencido | interesdevengadomayoravencido | pagocapitalenperiodo | pagointeresenperiodo | pagomoratorioenperiodo | bonificacionintenperiodo | bonificacionmorenperiodo | noamorvencidas | saldovencidomenoravencido | saldovencidomayoravencido | fechaultamorpagada | tipoprestamoid | montoprestamo | clavefinalidad | tasanormal | tasa_moratoria | ultimoabono | diastraspasoavencida | fecha_vencimiento | ultimoabonointeres | interesdevmormenor | interesdevmormayor | saldopromedio | dias_de_cobro | meses_de_cobro | depositogarantia | pagosvencidos | finalidaddefault |  saldopromediodelmes   | interesdevengadomes | primerincumplimiento | diasinteres | diascapital | reservaidnc | frecuencia | fecha_otorga | estatusvive | zonamarginada | importeultimaamort | importevencidoamort | tipocartera 
------------+----------------+------------+-----------+---------+-------------+--------------+--------------------+----------------+---------------+------------------+-------------------------------+-------------------------------+----------------------+----------------------+------------------------+--------------------------+--------------------------+----------------+---------------------------+---------------------------+--------------------+----------------+---------------+----------------+------------+----------------+-------------+----------------------+-------------------+--------------------+--------------------+--------------------+---------------+---------------+----------------+------------------+---------------+------------------+------------------------+---------------------+----------------------+-------------+-------------+-------------+------------+--------------+-------------+---------------+--------------------+---------------------+-------------
    2346669 |                |       8584 |      2013 |      12 | 2013-12-31  |            0 |               0.01 |              1 |   2302.000000 |      23.02000000 |                          0.00 |                             0 |               397.00 |                    0 |                      0 |                        0 |                        0 |              0 |               2302.000000 |                         0 | 2013-12-01         | N15            |   3599.000000 | 002            |       0.00 |          50.40 | 2013-12-20  |                   89 | 2014-09-02        | 2013-12-20         |                  0 |                  0 |               |            30 |              0 |            359.9 |             0 | 002              |  2500.5000000000000000 |                0.00 | 2013-12-31           |           0 |           0 |      0.0000 |         30 | 2013-09-01   |           3 |               |                299 |                   0 | 
    2345592 |                |       7500 |      2013 |      12 | 2013-12-31  |            0 |               0.01 |              1 |   1346.600000 |      13.46600000 |                         13.00 |                             0 |                 0.68 |               377.00 |                      0 |                        0 |                        0 |              0 |               1346.600000 |                         0 | 2013-12-01         | N4             |  24000.000000 | 002            |      31.44 |          47.16 | 2013-12-20  |                   89 | 2015-12-13        | 2013-12-20         |                  0 |                  0 |               |             0 |              1 |                0 |             0 | 002              |  1346.9400000000000000 |              -92.00 | 2013-12-31           |           0 |           0 |      0.1300 |         30 | 2012-12-28   |           3 |               |                666 |                   0 | 
    2346506 |                |       8421 |      2013 |      12 | 2013-12-31  |            0 |               0.01 |              1 |   1130.040000 |      11.30040000 |                          3.00 |                             0 |               276.80 |                20.00 |                      0 |                        0 |                        0 |              0 |               1130.040000 |                         0 | 2013-12-26         | N8             |   2450.000000 | 002            |       9.36 |          14.04 | 2013-12-22  |                   89 | 2014-07-27        | 2013-12-22         |                  0 |                  0 |               |            30 |              0 |             2695 |             0 | 002              |  1268.4400000000000000 |               -9.00 | 2014-01-25           |           0 |           0 |      0.0300 |         30 | 2013-07-29   |           3 |               |                204 |                   0 | 
    2346911 |                |       8827 |      2013 |      12 | 2013-12-31  |            0 |               0.01 |              1 |   4000.000000 |      40.00000000 |                          0.00 |                             0 |                    0 |                    0 |                      0 |                        0 |                        0 |              0 |               4000.000000 |                         0 | 2013-11-07         | P4             |   4000.000000 | 002            |          0 |              0 | 2013-11-07  |                   89 | 2014-03-07        | 2013-11-07         |                  0 |                  0 |               |           120 |              0 |                0 |             0 | 002              |  4000.0000000000000000 |                0.00 | 2014-03-07           |           0 |           0 |      0.0000 |        120 | 2013-11-07   |           3 |               |        4000.000000 |                   0 | 
    2346615 |                |       8530 |      2013 |      12 | 2013-12-31  |            0 |               0.01 |              1 |             0 |             0.00 |                             0 |                             0 |              4000.00 |                    0 |                      0 |                        0 |                        0 |              0 |                         0 |                         0 | 2013-12-18         | P4             |   4000.000000 | 002            |          0 |              0 | 2013-12-18  |                   89 | 2013-12-18        | 2013-12-18         |                  0 |                  0 |               |           120 |              0 |                0 |             0 | 002              |  2000.0000000000000000 |                0.00 | 2014-04-17           |           0 |           0 |        0.00 |        120 | 2013-08-20   |           3 |               |        4000.000000 |            0.000000 | 
    2346757 |                |       8672 |      2013 |      12 | 2013-12-31  |            0 |               0.01 |              1 |             0 |             0.00 |                             0 |                             0 |              1862.64 |                60.00 |                      0 |                        0 |                        0 |              0 |                         0 |                         0 | 2013-12-01         | N4             |   2500.000000 | 002            |      25.20 |          37.80 | 2013-12-24  |                   89 | 2014-02-02        | 2013-12-24         |                  0 |                  0 |               |            30 |              0 |                0 |             0 | 002              |   931.3200000000000000 |              -39.00 | 2013-12-31           |           0 |           0 |        0.00 |         30 | 2013-09-30   |           3 |               |                625 |                   0 | 
    2346790 |                |       8706 |      2013 |      12 | 2013-12-31  |            0 |               0.01 |              1 |   4000.000000 |      40.00000000 |                          0.00 |                             0 |                    0 |                    0 |                      0 |                        0 |                        0 |              0 |               4000.000000 |                         0 | 2013-10-10         | P4             |   4000.000000 | 002            |          0 |              0 | 2013-10-10  |                   89 | 2014-02-07        | 2013-10-10         |                  0 |                  0 |               |           120 |              0 |                0 |             0 | 002              |  4000.0000000000000000 |                0.00 | 2014-02-07           |           0 |           0 |      0.0000 |        120 | 2013-10-10   |           3 |               |        4000.000000 |                   0 | 
    2346068 |                |       7979 |      2013 |      12 | 2013-12-31  |            0 |               0.01 |              1 |             0 |             0.00 |                             0 |                             0 |               879.36 |               104.00 |                      0 |                        0 |                        0 |              0 |                         0 |                         0 | 2013-12-19         | N8             |  19000.000000 | 002            |       9.36 |          14.04 | 2013-12-19  |                   89 | 2015-04-19        | 2013-12-19         |                  0 |                  0 |               |            30 |              0 |            20900 |             0 | 002              |  6689.7800000000000000 |              -38.00 | 2014-01-18           |           0 |           0 |        0.00 |         30 | 2013-04-21   |           3 |               |                791 |                   0 | 
    2346616 |                |       8531 |      2013 |      12 | 2013-12-31  |            0 |               0.01 |              1 |             0 |             0.00 |                             0 |                             0 |              4000.00 |                    0 |                      0 |                        0 |                        0 |              0 |                         0 |                         0 | 2013-12-18         | P4             |   4000.000000 | 002            |          0 |              0 | 2013-12-18  |                   89 | 2013-12-18        | 2013-12-18         |                  0 |                  0 |               |           120 |              0 |                0 |             0 | 002              |  2000.0000000000000000 |                0.00 | 2014-04-17           |           0 |           0 |        0.00 |        120 | 2013-08-20   |           3 |               |        4000.000000 |            0.000000 | 
