?column?, precorteid , tablareservaid , prestamoid , ejercicio , periodo , fechacierre , diasvencidos , porcentajeaplicado , factoraplicado , saldoprestamo , reservacalculada , interesdevengadomenoravencido , interesdevengadomayoravencido , pagocapitalenperiodo , pagointeresenperiodo , pagomoratorioenperiodo , bonificacionintenperiodo , bonificacionmorenperiodo , noamorvencidas , saldovencidomenoravencido , saldovencidomayoravencido , fechaultamorpagada , tipoprestamoid , montoprestamo , clavefinalidad , tasanormal , tasa_moratoria , ultimoabono , diastraspasoavencida ,,,, fecha_vencimiento , ultimoabonointeres , interesdevmormenor , interesdevmormayor , saldopromedio , dias_de_cobro , meses_de_cobro , depositogarantia , pagosvencidos , finalidaddefault ,  saldopromediodelmes   , interesdevengadomes , primerincumplimiento , diasinteres , diascapital , reservaidnc , frecuencia , fecha_otorga , estatusvive , zonamarginada , importeultimaamort , importevencidoamort , tipocartera 
008112-,2346669,                ,8584,2013,12, 2013-12-31  ,0,0.01,1,2302,23.02,0,0,397,0,0,0,0,0,2302,0, 2013-12-01         , N15            ,3599,2,0,50.4, 2013-12-20  ,89,,,, 2014-09-02        , 2013-12-20         ,0,0,               ,30,0,359.9,0,2,2500.5,0, 2013-12-31           ,0,0,0,30, 2013-09-01   ,3,               ,299,0, 
007032-,2345592,                ,7500,2013,12, 2013-12-31  ,0,0.01,1,1346.6,13.466,13,0,0.68,377,0,0,0,0,1346.6,0, 2013-12-01         , N4             ,24000,2,31.44,47.16, 2013-12-20  ,89,,,, 2015-12-13        , 2013-12-20         ,0,0,               ,0,1,0,0,2,1346.94,-92, 2013-12-31           ,0,0,0.13,30, 2012-12-28   ,3,               ,666,0, 
007949-,2346506,                ,8421,2013,12, 2013-12-31  ,0,0.01,1,1130.04,11.3004,3,0,276.8,20,0,0,0,0,1130.04,0, 2013-12-26         , N8             ,2450,2,9.36,14.04, 2013-12-22  ,89,,,, 2014-07-27        , 2013-12-22         ,0,0,               ,30,0,2695,0,2,1268.44,-9, 2014-01-25           ,0,0,0.03,30, 2013-07-29   ,3,               ,204,0, 
008354-,2346911,                ,8827,2013,12, 2013-12-31  ,0,0.01,1,4000,40,0,0,0,0,0,0,0,0,4000,0, 2013-11-07         , P4             ,4000,2,0,0, 2013-11-07  ,89,,,, 2014-03-07        , 2013-11-07         ,0,0,               ,120,0,0,0,2,4000,0, 2014-03-07           ,0,0,0,120, 2013-11-07   ,3,               ,4000,0, 
008058-,2346615,                ,8530,2013,12, 2013-12-31  ,0,0.01,1,0,0,0,0,4000,0,0,0,0,0,0,0, 2013-12-18         , P4             ,4000,2,0,0, 2013-12-18  ,89,,,, 2013-12-18        , 2013-12-18         ,0,0,               ,120,0,0,0,2,2000,0, 2014-04-17           ,0,0,0,120, 2013-08-20   ,3,               ,4000,0, 
008200-,2346757,                ,8672,2013,12, 2013-12-31  ,0,0.01,1,0,0,0,0,1862.64,60,0,0,0,0,0,0, 2013-12-01         , N4             ,2500,2,25.2,37.8, 2013-12-24  ,89,,,, 2014-02-02        , 2013-12-24         ,0,0,               ,30,0,0,0,2,931.32,-39, 2013-12-31           ,0,0,0,30, 2013-09-30   ,3,               ,625,0, 
008233-,2346790,                ,8706,2013,12, 2013-12-31  ,0,0.01,1,4000,40,0,0,0,0,0,0,0,0,4000,0, 2013-10-10         , P4             ,4000,2,0,0, 2013-10-10  ,89,,,, 2014-02-07        , 2013-10-10         ,0,0,               ,120,0,0,0,2,4000,0, 2014-02-07           ,0,0,0,120, 2013-10-10   ,3,               ,4000,0, 
007508-,2346068,                ,7979,2013,12, 2013-12-31  ,0,0.01,1,0,0,0,0,879.36,104,0,0,0,0,0,0, 2013-12-19         , N8             ,19000,2,9.36,14.04, 2013-12-19  ,89,,,, 2015-04-19        , 2013-12-19         ,0,0,               ,30,0,20900,0,2,6689.78,-38, 2014-01-18           ,0,0,0,30, 2013-04-21   ,3,               ,791,0, 
008059-,2346616,                ,8531,2013,12, 2013-12-31  ,0,0.01,1,0,0,0,0,4000,0,0,0,0,0,0,0, 2013-12-18         , P4             ,4000,2,0,0, 2013-12-18  ,89,,,, 2013-12-18        , 2013-12-18         ,0,0,               ,120,0,0,0,2,2000,0, 2014-04-17           ,0,0,0,120, 2013-08-20   ,3,               ,4000,0, 
006768-,2345329,                ,7235,2013,12, 2013-12-31  ,0,0.01,1,0,0,0,0,5001.48,186,5,0,0,0,0,0, 2013-12-05         , N1             ,15000,2,31.44,47.16, 2013-12-13  ,89,,,, 2014-05-06        , 2013-12-13         ,0,0,               ,30,0,0,0,2,2500.74,-131, 2014-01-04           ,0,0,0,30, 2012-11-06   ,3,               ,833,0, 
