"suc","no_de_disposicion","org_id","acred_id","credito_id","destino_credito","monto_credito","fecha_entrega","fecha_vencimiento","tasa_mensual","tipo_tasa","frecuencia_pagos","finalidad","subfinalidad1","subfinalidad2"
"001-","FOMMUR00002       ","179","001-01892-02","001-008823-","FINES AJENOS AL NEGOCIO","5000.00","30/03/2014","14/09/2014","0.0474","SALDOS INSOLUTOS","CATORCENAL","GASTOS PERSONALES","GASTOS PERSONALES",""
"001-","FOMMUR00002       ","179","001-06127-02","001-008817-","FINES AJENOS AL NEGOCIO","15000.00","30/03/2014","14/09/2014","0.0474","SALDOS INSOLUTOS","CATORCENAL","GASTOS PERSONALES","GASTOS PERSONALES",""
"001-","FOMMUR00002       ","179","001-06365-02","001-008818-","FINES AJENOS AL NEGOCIO","12500.00","30/03/2014","14/09/2014","0.0474","SALDOS INSOLUTOS","CATORCENAL","GASTOS PERSONALES","GASTOS PERSONALES",""
"001-","FOMMUR00002       ","179","001-06366-02","001-008820-","FINES AJENOS AL NEGOCIO","17500.00","30/03/2014","14/09/2014","0.0474","SALDOS INSOLUTOS","CATORCENAL","GASTOS PERSONALES","GASTOS PERSONALES",""
"001-","FOMMUR00002       ","179","001-06372-02","001-008819-","FINES AJENOS AL NEGOCIO","12500.00","30/03/2014","14/09/2014","0.0474","SALDOS INSOLUTOS","CATORCENAL","GASTOS PERSONALES","GASTOS PERSONALES",""
"001-","FOMMUR00002       ","179","001-06374-02","001-008821-","FINES AJENOS AL NEGOCIO","12500.00","30/03/2014","14/09/2014","0.0474","SALDOS INSOLUTOS","CATORCENAL","GASTOS PERSONALES","GASTOS PERSONALES",""
"001-","FOMMUR00002       ","179","001-06495-02","001-008824-","FINES AJENOS AL NEGOCIO","13000.00","30/03/2014","14/09/2014","0.0474","SALDOS INSOLUTOS","CATORCENAL","GASTOS PERSONALES","GASTOS PERSONALES",""
"001-","FOMMUR00002       ","179","001-06496-02","001-008822-","FINES AJENOS AL NEGOCIO","12500.00","30/03/2014","14/09/2014","0.0474","SALDOS INSOLUTOS","CATORCENAL","GASTOS PERSONALES","GASTOS PERSONALES",""
"001-","FOMMUR00002       ","179","001-06625-02","001-008826-","FINES AJENOS AL NEGOCIO","6000.00","30/03/2014","14/09/2014","0.0474","SALDOS INSOLUTOS","CATORCENAL","GASTOS PERSONALES","GASTOS PERSONALES",""
"002-","FOMMUR00002       ","179","002-06007-02","002-009023-","OTRO FIN RELACIONADO","5000.00","21/03/2014","13/07/2014","0.0474","SALDOS INSOLUTOS","SEMANAL","INVERSION DE NEGOCIO","CAPITAL DE TRABAJO",""
"002-","FOMMUR00002       ","179","002-06220-02","002-009055-","OTRO FIN RELACIONADO","4000.00","26/03/2014","10/09/2014","0.0474","SALDOS INSOLUTOS","SEMANAL","INVERSION DE NEGOCIO","CAPITAL DE TRABAJO",""
"002-","FOMMUR00002       ","179","002-06221-02","002-009024-","OTRO FIN RELACIONADO","8500.00","21/03/2014","13/07/2014","0.0474","SALDOS INSOLUTOS","SEMANAL","INVERSION DE NEGOCIO","CAPITAL DE TRABAJO",""
"002-","FOMMUR00002       ","179","002-06228-02","002-009027-","OTRO FIN RELACIONADO","7500.00","21/03/2014","13/07/2014","0.0474","SALDOS INSOLUTOS","SEMANAL","INVERSION DE NEGOCIO","CAPITAL DE TRABAJO",""
"002-","FOMMUR00002       ","179","002-07035-02","002-009039-","OTRO FIN RELACIONADO","20000.00","25/03/2014","15/07/2014","0.0474","SALDOS INSOLUTOS","SEMANAL","INVERSION DE NEGOCIO","CAPITAL DE TRABAJO",""
"002-","FOMMUR00002       ","179","002-07038-02","002-009040-","OTRO FIN RELACIONADO","6000.00","25/03/2014","15/07/2014","0.0474","SALDOS INSOLUTOS","SEMANAL","INVERSION DE NEGOCIO","CAPITAL DE TRABAJO",""
"002-","FOMMUR00002       ","179","002-08305-02","002-009043-","OTRO FIN RELACIONADO","4000.00","25/03/2014","15/07/2014","0.0474","SALDOS INSOLUTOS","SEMANAL","INVERSION DE NEGOCIO","CAPITAL DE TRABAJO",""
"002-","FOMMUR00002       ","179","002-08369-02","002-009044-","OTRO FIN RELACIONADO","5000.00","25/03/2014","15/07/2014","0.0474","SALDOS INSOLUTOS","SEMANAL","INVERSION DE NEGOCIO","CAPITAL DE TRABAJO",""
"002-","FOMMUR00002       ","179","002-08410-02","002-009026-","OTRO FIN RELACIONADO","11000.00","21/03/2014","13/07/2014","0.0474","SALDOS INSOLUTOS","SEMANAL","INVERSION DE NEGOCIO","CAPITAL DE TRABAJO",""
"002-","FOMMUR00002       ","179","002-08473-02","002-009078-","OTRO FIN RELACIONADO","14000.00","31/03/2014","21/07/2014","0.0474","SALDOS INSOLUTOS","SEMANAL","INVERSION DE NEGOCIO","CAPITAL DE TRABAJO",""
"002-","FOMMUR00002       ","179","002-08541-02","002-009046-","OTRO FIN RELACIONADO","5000.00","25/03/2014","15/07/2014","0.0474","SALDOS INSOLUTOS","SEMANAL","INVERSION DE NEGOCIO","CAPITAL DE TRABAJO",""
"002-","FOMMUR00002       ","179","002-08580-02","002-009047-","OTRO FIN RELACIONADO","10000.00","26/03/2014","10/09/2014","0.0474","SALDOS INSOLUTOS","SEMANAL","INVERSION DE NEGOCIO","CAPITAL DE TRABAJO",""
"002-","FOMMUR00002       ","179","002-08581-02","002-009051-","OTRO FIN RELACIONADO","10000.00","26/03/2014","10/09/2014","0.0474","SALDOS INSOLUTOS","SEMANAL","INVERSION DE NEGOCIO","CAPITAL DE TRABAJO",""
"002-","FOMMUR00002       ","179","002-08582-02","002-009049-","OTRO FIN RELACIONADO","10000.00","26/03/2014","10/09/2014","0.0474","SALDOS INSOLUTOS","SEMANAL","INVERSION DE NEGOCIO","CAPITAL DE TRABAJO",""
"002-","FOMMUR00002       ","179","002-08583-02","002-009052-","OTRO FIN RELACIONADO","7500.00","26/03/2014","10/09/2014","0.0474","SALDOS INSOLUTOS","SEMANAL","INVERSION DE NEGOCIO","CAPITAL DE TRABAJO",""
"002-","FOMMUR00002       ","179","002-08584-02","002-009053-","OTRO FIN RELACIONADO","5000.00","26/03/2014","10/09/2014","0.0474","SALDOS INSOLUTOS","SEMANAL","INVERSION DE NEGOCIO","CAPITAL DE TRABAJO",""
