 amortizacionid , prestamoid , claveestadocredito , numamortizacion , fechadepago , importeamortizacion , interesnormal , saldo_absoluto , ultimoabono ,  iva   , totalpago 
         719779 ,      11175 , 001                ,              36 , 2017-03-30  ,             5734.89 ,         55.46 ,       0.000000 , 2014-04-15  ,   8.87 ,   5799.22 
         719778 ,      11175 , 001                ,              35 , 2017-03-15  ,             4276.62 ,        180.73 ,    5734.890000 , 2014-04-15  ,  28.92 ,   4486.27 
         719777 ,      11175 , 001                ,              34 , 2017-02-15  ,             4157.77 ,        283.19 ,   10011.510000 , 2014-04-15  ,  45.31 ,   4486.27 
         719776 ,      11175 , 001                ,              33 , 2017-01-15  ,             4063.55 ,        364.41 ,   14169.280000 , 2014-04-15  ,  58.31 ,   4486.27 
         719775 ,      11175 , 001                ,              32 , 2016-12-15  ,             3987.73 ,        429.78 ,   18232.830000 , 2014-04-15  ,  68.76 ,   4486.27 
         719774 ,      11175 , 001                ,              31 , 2016-11-15  ,             3881.12 ,        521.68 ,   22220.560000 , 2014-04-15  ,  83.47 ,   4486.27 
         719773 ,      11175 , 001                ,              30 , 2016-10-15  ,             3815.05 ,        578.64 ,   26101.680000 , 2014-04-15  ,  92.58 ,   4486.27 
         719772 ,      11175 , 001                ,              29 , 2016-09-15  ,             3706.74 ,        672.01 ,   29916.730000 , 2014-04-15  , 107.52 ,   4486.27 
         719771 ,      11175 , 001                ,              28 , 2016-08-15  ,             3622.74 ,        744.42 ,   33623.470000 , 2014-04-15  , 119.11 ,   4486.27 
         719770 ,      11175 , 001                ,              27 , 2016-07-15  ,             3570.50 ,        789.46 ,   37246.210000 , 2014-04-15  , 126.31 ,   4486.27 
         719769 ,      11175 , 001                ,              26 , 2016-06-15  ,             3492.14 ,        857.01 ,   40816.710000 , 2014-04-15  , 137.12 ,   4486.27 
         719768 ,      11175 , 001                ,              25 , 2016-05-16  ,             3380.63 ,        953.14 ,   44308.850000 , 2014-04-15  , 152.50 ,   4486.27 
         719767 ,      11175 , 001                ,              24 , 2016-04-15  ,             3304.02 ,       1019.18 ,   47689.480000 , 2014-04-15  , 163.07 ,   4486.27 
         719766 ,      11175 , 001                ,              23 , 2016-03-15  ,             3308.55 ,       1015.28 ,   50993.500000 , 2014-04-15  , 162.44 ,   4486.27 
