 ciudadmexid | estadomexid | claveciudadmex |                  nombreciudadmex                   | claveconapo | ?column? |                  ?column?                  | ?column? 
-------------+-------------+----------------+----------------------------------------------------+-------------+----------+--------------------------------------------+----------
        1501 |          20 | 1501           | SANTO DOMINGO CHIHUITAN                            | 205080001   |          |                                            |        0
        1502 |          20 | 1502           | SANTO DOMINGO INGENIO                              | 205050001   |          |                                            |        0
        1505 |          20 | 1505           | SANTO DOMINGO OZOLOTEPEC                           | 205120001   |          |                                            |        0
        1511 |          20 | 1511           | SANTO DOMINGO TLATAYAPAM                           | 205180001   |          |                                            |        0
        1564 |          21 | 1564           | ACAJETE                                            | 210010001   | 3001009  | ACAJETE                                    |        2
        1566 |          21 | 1566           | ACATLAN                                            | 210030001   | 1353003  | SAN LUIS ACATLAN                           |       15
        1569 |          21 | 1569           | AHUACATLAN                                         | 210060001   | 2204004  | AHUACATLAN                                 |        2
        1581 |          21 | 1581           | ATEXCAL                                            | 210180001   | 3018009  | ATEXCAL SAN MARTIN                         |        1
        1594 |          21 | 1594           | CAÑADA MORELOS                                     | 210290001   |          |                                            |        0
        1597 |          21 | 1597           | CHIAUTLA                                           | 210470001   | 1729001  | CHIAUTLA                                   |        2
        1606 |          21 | 1606           | CHILA DE LA SAL                                    | 210580001   |          |                                            |        0
        1609 |          21 | 1609           | COATEPEC                                           | 210300001   | 1721005  | COATEPEC HARINAS                           |        3
        1614 |          21 | 1614           | COXCATLAN                                          | 210350001   | 3035003  | COXCATLAN                                  |        2
        1616 |          21 | 1616           | COYOTEPEC                                          | 210370001   | 1723004  | COYOTEPEC                                  |        4
        1617 |          21 | 1617           | CUAPIAXTLA DE MADERO                               | 210380001   | 3038003  | CUAPIAXTLA DE MADERO MUNICIPIO DE          |        2
        1618 |          21 | 1618           | CUAUTEMPAN                                         | 210390001   |          |                                            |        0
        1621 |          21 | 1621           | CUAYUCA DE ANDRADE                                 | 210420001   |          |                                            |        0
        1624 |          21 | 1624           | DOMINGO ARENAS                                     | 210600001   | 3060009  | DOMINGO ARENAS                             |        2
        1625 |          21 | 1625           | ELOXOCHITLAN                                       | 210610001   | 1420007  | ELOXOCHITLAN                               |        4
        1627 |          21 | 1627           | ESPERANZA                                          | 210630001   | 535059   | LA ESPERANZA (MUZQUIZ)                     |        3
        1630 |          21 | 1630           | GUADALUPE                                          | 210660001   | 204252   | GUADALUPE VICTORIA                         |       14
        1631 |          21 | 1631           | GUADALUPE VICTORIA                                 | 210670001   | 204252   | GUADALUPE VICTORIA                         |        3
        1633 |          21 | 1633           | HONEY                                              | 210570001   | 3057009  | CHILA HONEY                                |        1
        1637 |          21 | 1637           | HUEHUETLA                                          | 210720001   | 1371003  | XOCHIHUEHUETLAN                            |        7
        1639 |          21 | 1639           | HUEHUETLAN EL GRANDE                               | 211500001   |          |                                            |        0
        1651 |          21 | 1651           | JALPAN                                             | 210860001   | 2743005  | SAN RAYMUNDO JALPAN                        |        5
        1655 |          21 | 1655           | JUAN C BONILLA                                     | 210900001   |          |                                            |        0
        1658 |          21 | 1658           | LA MAGDALENA TLATLAUQUITEPEC                       | 210950001   |          |                                            |        0
        1659 |          21 | 1659           | LAFRAGUA                                           | 210930001   |          |                                            |        0
        1661 |          21 | 1661           | LOS REYES DE JUAREZ                                | 211180001   |          |                                            |        0
        1668 |          21 | 1668           | NICOLAS BRAVO                                      | 211030001   | 940467   | NICOLAS BRAVO                              |        2
        1676 |          21 | 1676           | PANTEPEC                                           | 211110001   | 767003   | PANTEPEC                                   |        4
        1679 |          21 | 1679           | PUEBLA                                             | 211140001   | 204228   | EJIDO PUEBLA                               |        3
        1685 |          21 | 1685           | SAN DIEGO LA MESA TOCHIMILTZI                      | 211210001   |          |                                            |        0
        1700 |          21 | 1700           | SAN MIGUEL XOXTLA                                  | 211360001   |          |                                            |        0
        1703 |          21 | 1703           | SAN PABLO ANICANO                                  | 211390001   |          |                                            |        0
        1704 |          21 | 1704           | SAN PEDRO CHOLULA                                  | 211400001   |          |                                            |        0
        1705 |          21 | 1705           | SAN PEDRO YELOIXTLAHUACA                           | 211410001   | 3142009  | SAN PEDRO YELOIXTLAHUACAN                  |        1
        1730 |          21 | 1730           | TEPETZINTLA                                        | 211670001   | 3169003  | TEPETZINTLA                                |        2
        1734 |          21 | 1734           | TEPEYAHUALCO DE CUAUHTEMOC                         | 211710001   |          |                                            |        0
        1745 |          21 | 1745           | TLANEPANTLA                                        | 211820001   |          |                                            |        0
        1750 |          21 | 1750           | TLAXCO                                             | 211870001   | 1474001  | TLAXCOAPAN                                 |        5
        1757 |          21 | 1757           | VENUSTIANO CARRANZA                                | 211940001   | 807009   | VENUSTIANO CARRANZA (CHIAPAS)              |        5
        1758 |          21 | 1758           | VICENTE GUERRERO                                   | 211950001   | 201408   | VICENTE GUERRERO                           |        5
        1760 |          21 | 1760           | XICOTEPEC                                          | 211970001   | 3199003  | XICOTEPEC DE JUAREZ                        |        1
        1766 |          21 | 1766           | XOCHITLAN DE VICENTE SUAREZ                        | 212030001   |          |                                            |        0
        1774 |          21 | 1774           | ZARAGOZA                                           | 212110001   | 579009   | ZARAGOZA                                   |       17
